Team,Position,2018 HRs,2019 HRs,2021 HRs,2022 HRs,2023 HRs
BAL,C,3,13,11,13,20
,1B,16,12,33,22,18
,2B,17,24,5,13,13
,3B,24,6,9,13,7
,SS,7,12,11,16,4
,LF,24,13,22,16,16
,CF,15,10,30,16,15
,RF,8,35,18,33,28
,DH,17,31,21,10,14
BOS,C,5,23,6,8,9
,1B,15,19,25,12,24
,2B,10,3,6,16,3
,3B,23,33,23,15,6
,SS,21,32,38,27,33
,LF,16,13,13,11,15
,CF,13,21,20,6,8
,RF,32,29,31,3,13
,DH,43,36,28,16,23
NYY,C,18,34,23,11,10
,1B,11,21,8,32,12
,2B,24,26,10,24,25
,3B,27,16,9,4,21
,SS,27,21,14,15,15
,LF,12,13,13,8,5
,CF,27,28,10,62,7
,RF,27,27,39,12,37
,DH,38,13,35,31,24
TBR,C,14,9,33,6,11
,1B,11,19,13,11,22
,2B,7,17,39,8,21
,3B,10,20,7,8,17
,SS,4,14,11,9,31
,LF,7,21,27,20,23
,CF,7,14,4,7,25
,RF,9,20,10,4,20
,DH,30,33,13,6,12
TOR,C,10,13,1,14,8
,1B,25,22,48,32,26
,2B,11,16,45,7,11
,3B,18,18,29,24,20
,SS,17,15,2,27,17
,LF,22,20,21,5,20
,CF,15,26,22,25,8
,RF,25,31,32,25,21
,DH,21,21,22,4,19
